year,     event,     actor,     movie,     role,     won
1978,     (51st) best actor,     Jon Voight,     Coming Home,     Luke Martin,     True
1978,     (51st) best actor,     Warren Beatty,     Heaven Can Wait,     Joe Pendleton,     False
1978,     (51st) best actor,     Gary Busey,     The Buddy Holly Story,     Buddy Holly,     False
1978,     (51st) best actor,     Robert De Niro,     The Deer Hunter,     Michael Vronsky,     False
1978,     (51st) best actor,     Laurence Olivier,     The Boys from Brazil,     Ezra Lieberman,     False
1956,     (29th) best actor,     Yul Brynner,     The King and I,     King Mongkut of Siam,     True
1956,     (29th) best actor,     James Dean,     Giant,     Jett Rink,     False
1956,     (29th) best actor,     Kirk Douglas,     Lust for Life,     Vincent van Gogh,     False
1956,     (29th) best actor,     Rock Hudson,     Giant,     Jordan "Bick" Benedict Jr.,     False
1956,     (29th) best actor,     Laurence Olivier,     Richard III,     King Richard III of England,     False
1991,     (64th) best actor,     Anthony Hopkins,     The Silence of the Lambs,     Dr. Hannibal Lecter,     True
1991,     (64th) best actor,     Warren Beatty,     Bugsy,     Benjamin "Bugsy" Siegel,     False
1991,     (64th) best actor,     Robert De Niro,     Cape Fear,     Maximilian "Max" Cady,     False
1991,     (64th) best actor,     Nick Nolte,     The Prince of Tides,     Tom Wingo,     False
1991,     (64th) best actor,     Robin Williams,     The Fisher King,     Henry "Parry" Sagan,     False
2000,     (73rd) best actor,     Russell Crowe,     Gladiator,     Maximus Decimus Meridius,     True
2000,     (73rd) best actor,     Javier Bardem,     Before Night Falls,     Reinaldo Arenas,     False
2000,     (73rd) best actor,     Tom Hanks,     Cast Away,     Chuck Noland,     False
2000,     (73rd) best actor,     Ed Harris,     Pollock,     Jackson Pollock,     False
2000,     (73rd) best actor,     Geoffrey Rush,     Quills,     The Marquis de Sade,     False
1989,     (62nd) best actor,     Daniel Day-Lewis,     My Left Foot,     Christy Brown,     True
1989,     (62nd) best actor,     Kenneth Branagh,     Henry V,     King Henry V of England,     False
1989,     (62nd) best actor,     Tom Cruise,     Born on the Fourth of July,     Ron Kovic,     False
1989,     (62nd) best actor,     Morgan Freeman,     Driving Miss Daisy,     Hoke Colburn,     False
1989,     (62nd) best actor,     Robin Williams,     Dead Poets Society,     John Charles "Keats" Keating,     False
2005,     (78th) best actor,     Philip Seymour Hoffman,     Capote,     Truman Capote,     True
2005,     (78th) best actor,     Terrence Howard,     Hustle & Flow,     Djay,     False
2005,     (78th) best actor,     Heath Ledger,     Brokeback Mountain,     Ennis Del Mar,     False
2005,     (78th) best actor,     Joaquin Phoenix,     Walk the Line,     Johnny Cash,     False
2005,     (78th) best actor,     David Strathairn,     Good Night, and Good Luck,     Edward R. Murrow,     False
1994,     (67th) best actor,     Tom Hanks,     Forrest Gump,     Forrest Gump,     True
1994,     (67th) best actor,     Morgan Freeman,     The Shawshank Redemption,     Ellis Boyd "Red" Redding,     False
1994,     (67th) best actor,     Nigel Hawthorne,     The Madness of King George,     King George III,     False
1994,     (67th) best actor,     Paul Newman,     Nobody's Fool,     Donald "Sully" Sullivan,     False
1994,     (67th) best actor,     John Travolta,     Pulp Fiction,     Vincent Vega,     False
1982,     (55th) best actor,     Ben Kingsley,     Gandhi,     Mohandas Karamchand Gandhi,     True
1982,     (55th) best actor,     Dustin Hoffman,     Tootsie,     Michael Dorsey, aka Dorothy Michaels,     False
1982,     (55th) best actor,     Jack Lemmon,     Missing,     Ed Horman,     False
1982,     (55th) best actor,     Paul Newman,     The Verdict,     Frank Galvin,     False
1982,     (55th) best actor,     Peter O'Toole,     My Favorite Year,     Alan Swann,     False
1971,     (44th) best actor,     Gene Hackman,     The French Connection,     Detective Jimmy "Popeye" Doyle,     True
1971,     (44th) best actor,     Peter Finch,     Sunday Bloody Sunday,     Dr. Daniel Hirsh,     False
1971,     (44th) best actor,     Walter Matthau,     Kotch,     Joseph P. Kotcher,     False
1971,     (44th) best actor,     George C. Scott,     The Hospital,     Dr. Herbert Bock,     False
1971,     (44th) best actor,     Topol,     Fiddler on the Roof,     Tevye,     False
2007,     (80th) best actor,     Daniel Day-Lewis,     There Will Be Blood,     Daniel Plainview,     True
2007,     (80th) best actor,     George Clooney,     Michael Clayton,     Michael Clayton,     False
2007,     (80th) best actor,     Johnny Depp,     Sweeney Todd: The Demon Barber of Fleet Street,     Sweeney Todd / Benjamin Barker,     False
2007,     (80th) best actor,     Tommy Lee Jones,     In the Valley of Elah,     Hank Deerfield,     False
2007,     (80th) best actor,     Viggo Mortensen,     Eastern Promises,     Nikolai Luzhin,     False
2003,     (76th) best actor,     Sean Penn,     Mystic River,     Jimmy Markum,     True
2003,     (76th) best actor,     Johnny Depp,     Pirates of the Caribbean: The Curse of the Black Pearl,     Jack Sparrow,     False
2003,     (76th) best actor,     Ben Kingsley,     House of Sand and Fog,     Massoud Amir Behrani,     False
2003,     (76th) best actor,     Jude Law,     Cold Mountain,     W. P. Inman,     False
2003,     (76th) best actor,     Bill Murray,     Lost in Translation,     Bob Harris,     False
1960,     (33rd) best actor,     Burt Lancaster,     Elmer Gantry,     Elmer Gantry,     True
1960,     (33rd) best actor,     Trevor Howard,     Sons and Lovers,     Walter Morel,     False
1960,     (33rd) best actor,     Jack Lemmon,     The Apartment,     C. C. "Bud" Baxter,     False
1960,     (33rd) best actor,     Laurence Olivier,     The Entertainer,     Archie Rice,     False
1960,     (33rd) best actor,     Spencer Tracy,     Inherit the Wind,     Henry Drummond,     False
1999,     (72nd) best actor,     Kevin Spacey,     American Beauty,     Lester Burnham,     True
1999,     (72nd) best actor,     Russell Crowe,     The Insider,     Jeffrey Wigand,     False
1999,     (72nd) best actor,     Richard Farnsworth,     The Straight Story,     Alvin Straight,     False
1999,     (72nd) best actor,     Sean Penn,     Sweet and Lowdown,     Emmet Ray,     False
1999,     (72nd) best actor,     Denzel Washington,     The Hurricane,     Rubin "The Hurricane" Carter,     False
1966,     (39th) best actor,     Paul Scofield,     A Man for All Seasons,     Sir Thomas More,     True
1966,     (39th) best actor,     Alan Arkin,     The Russians Are Coming, the Russians Are Coming,     Lt. Rozanov,     False
1966,     (39th) best actor,     Richard Burton,     Who's Afraid of Virginia Woolf?,     George,     False
1966,     (39th) best actor,     Michael Caine,     Alfie,     Alfie Elkins,     False
1966,     (39th) best actor,     Steve McQueen,     The Sand Pebbles,     Jake Holman,     False
1990,     (63rd) best actor,     Jeremy Irons,     Reversal of Fortune,     Claus von Bülow,     True
1990,     (63rd) best actor,     Kevin Costner,     Dances with Wolves,     Lieutenant John J. Dunbar,     False
1990,     (63rd) best actor,     Robert De Niro,     Awakenings,     Leonard Lowe,     False
1990,     (63rd) best actor,     Gérard Depardieu,     Cyrano de Bergerac,     Cyrano de Bergerac,     False
1990,     (63rd) best actor,     Richard Harris,     The Field,     "Bull" McCabe,     False
2014,     (87th) best actor,     Eddie Redmayne,     The Theory of Everything,     Stephen Hawking,     True
2014,     (87th) best actor,     Steve Carell,     Foxcatcher,     John du Pont,     False
2014,     (87th) best actor,     Bradley Cooper,     American Sniper,     Chris Kyle,     False
2014,     (87th) best actor,     Benedict Cumberbatch,     The Imitation Game,     Alan Turing,     False
2014,     (87th) best actor,     Michael Keaton,     Birdman,     Riggan Thomson,     False
2001,     (74th) best actor,     Denzel Washington,     Training Day,     Detective Alonzo Harris,     True
2001,     (74th) best actor,     Russell Crowe,     A Beautiful Mind,     John Forbes Nash, Jr.,     False
2001,     (74th) best actor,     Sean Penn,     I Am Sam,     Sam Dawson,     False
2001,     (74th) best actor,     Will Smith,     Ali,     Muhammad Ali,     False
2001,     (74th) best actor,     Tom Wilkinson,     In the Bedroom,     Dr. Matt Fowler,     False
1957,     (30th) best actor,     Alec Guinness,     The Bridge on the River Kwai,     Lt. Colonel L. Nicholson, D.S.O.,     True
1957,     (30th) best actor,     Marlon Brando,     Sayonara,     Major Lloyd "Ace" Gruver, USAF,     False
1957,     (30th) best actor,     Anthony Franciosa,     A Hatful of Rain,     Polo Pope,     False
1957,     (30th) best actor,     Charles Laughton,     Witness for the Prosecution,     Sir Wilfrid Robarts,     False
1957,     (30th) best actor,     Anthony Quinn,     Wild Is the Wind,     Gino,     False
2008,     (81st) best actor,     Sean Penn,     Milk,     Harvey Milk,     True
2008,     (81st) best actor,     Richard Jenkins,     The Visitor,     Walter Vale,     False
