1978   ||   heaven_can_wait   ||   88%   ||   68%   ||   {Romance, Sports & Fitness, Science Fiction & Fantasy, Comedy}   ||   1 hr. 41 min.
1978   ||   the_buddy_holly_story   ||   100%   ||   77%   ||   {Musical & Performing Arts, Drama}   ||   1 hr. 53 min.
1978   ||   the_deer_hunter   ||   93%   ||   92%   ||   {Drama, Cult Movies}   ||   3 hr. 3 min.
1978   ||   the_boys_from_brazil   ||   70%   ||   66%   ||   {Drama, Action & Adventure, Mystery & Suspense}   ||   2 hr. 10 min.
1956   ||   the_king_and_i   ||   96%   ||   83%   ||   {Romance, Musical & Performing Arts, Classics}   ||   2 hr. 13 min.
1956   ||   giant   ||   95%   ||   87%   ||   {Western, Drama, Romance, Classics}   ||   3 hr. 17 min.
1956   ||   lust_for_life   ||   100%   ||   81%   ||   {Drama, Classics}   ||   2 hr. 2 min.
1956   ||   giant   ||   95%   ||   87%   ||   {Western, Drama, Romance, Classics}   ||   3 hr. 17 min.
1956   ||   richard_iii   ||   80%   ||   78%   ||   {Drama, Classics}   ||   2 hr. 18 min.
1991   ||   the_silence_of_the_lambs   ||   95%   ||   95%   ||   {Mystery & Suspense, Horror}   ||   1 hr. 58 min.
1991   ||   bugsy   ||   85%   ||   69%   ||   {Drama}   ||   2 hr. 16 min.
1991   ||   cape_fear   ||   76%   ||   77%   ||   {Mystery & Suspense, Drama}   ||   2 hr. 8 min.
1991   ||   the_prince_of_tides   ||   73%   ||   70%   ||   {Drama, Romance}   ||   2 hr. 6 min.
1991   ||   the_fisher_king   ||   83%   ||   86%   ||   {Drama, Science Fiction & Fantasy, Comedy}   ||   2 hr. 18 min.
2000   ||   gladiator   ||   76%   ||   87%   ||   {Drama, Action & Adventure, Classics}   ||   2 hr. 51 min.
2000   ||   before_night_falls   ||   73%   ||   84%   ||   {Drama}   ||   2 hr. 5 min.
2000   ||   cast_away   ||   90%   ||   83%   ||   {Drama, Action & Adventure}   ||   2 hr. 23 min.
2000   ||   pollock   ||   81%   ||   74%   ||   {Drama}   ||   2 hr. 3 min.
2000   ||   quills   ||   75%   ||   83%   ||   {Drama}   ||   2 hr. 4 min.
1989   ||   my_left_foot   ||   97%   ||   92%   ||   {Art House & International, Drama}   ||   1 hr. 43 min.
1989   ||   henry_v   ||   100%   ||   89%   ||   {Drama, Action & Adventure, Romance}   ||   2 hr. 18 min.
1989   ||   born_on_the_fourth_of_july   ||   90%   ||   76%   ||   {Drama}   ||   2 hr. 24 min.
1989   ||   driving_miss_daisy   ||   82%   ||   81%   ||   {Drama, Comedy}   ||   1 hr. 39 min.
1989   ||   dead_poets_society   ||   85%   ||   92%   ||   {Drama}   ||   2 hr. 8 min.
2005   ||   capote   ||   90%   ||   81%   ||   {Drama}   ||   1 hr. 55 min.
2005   ||   brokeback_mountain   ||   87%   ||   82%   ||   {Drama, Romance}   ||   2 hr. 14 min.
2005   ||   walk_the_line   ||   82%   ||   90%   ||   {Drama}   ||   1 hr. 34 min.
2005   ||   good_night,_and_good_luck   ||   93%   ||   83%   ||   {Drama}   ||   1 hr. 30 min.
1994   ||   forrest_gump   ||   72%   ||   95%   ||   {Drama, Romance, Comedy}   ||   2 hr. 22 min.
1994   ||   the_shawshank_redemption   ||   91%   ||   98%   ||   {Drama}   ||   2 hr. 22 min.
1994   ||   the_madness_of_king_george   ||   93%   ||   80%   ||   {Drama, Comedy}   ||   1 hr. 47 min.
1994   ||   nobodys_fool   ||   91%   ||   81%   ||   {Drama, Comedy}   ||   1 hr. 50 min.
1994   ||   pulp_fiction   ||   94%   ||   96%   ||   {Drama}   ||   2 hr. 34 min.
1982   ||   gandhi   ||   88%   ||   92%   ||   {Drama, Classics}   ||   3 hr. 11 min.
1982   ||   tootsie   ||   88%   ||   81%   ||   {Drama, Romance, Comedy}   ||   1 hr. 59 min.
1982   ||   missing   ||   96%   ||   85%   ||   {Mystery & Suspense, Drama}   ||   2 hr. 2 min.
1982   ||   the_verdict   ||   96%   ||   88%   ||   {Drama}   ||   2 hr. 2 min.
1982   ||   my_favorite_year   ||   100%   ||   85%   ||   {Comedy}   ||   1 hr. 32 min.
1971   ||   the_french_connection   ||   98%   ||   87%   ||   {Drama, Action & Adventure, Classics}   ||   1 hr. 44 min.
1971   ||   sunday_bloody_sunday   ||   92%   ||   72%   ||   {Drama}   ||   1 hr. 50 min.
1971   ||   kotch   ||   67%   ||   69%   ||   {Drama, Classics, Comedy}   ||   1 hr. 53 min.
